genome	rl	damagelevel	covbin	noContigs	totallength	alignmentlength	softcliplength
Msmithii	short	5	6	55	1791400	1776539	14849
Msmithii	long	8	7	32	1821719	1806973	14746
Tforsythia	medium	5	5	131	3216119	3069405	146626
Adentalis	medium	8	5	177	3396769	3080474	316285
Tforsythia	long	7	6	120	3269070	3140231	128760
Msmithii	long	8	0	0	0	0	0
Msmithii	long	4	1	0	0	0	0
Msmithii	long	7	1	1	2502	2223	279
Msmithii	short	5	7	54	1791883	1783547	8332
Adentalis	medium	8	4	366	3270419	3123405	147002
Adentalis	long	1	1	1	2519	2410	109
Tforsythia	short	4	3	423	1783648	1779683	3964
Tforsythia	medium	2	2	30	92477	92389	88
Msmithii	long	3	1	1	2502	2223	279
Msmithii	long	8	1	1	2502	2223	279
Tforsythia	short	9	2	2	5650	5603	47
Msmithii	short	9	5	55	1789604	1783588	6005
Tforsythia	long	3	4	137	3246401	3028194	218136
Msmithii	long	6	0	0	0	0	0
Msmithii	medium	1	5	42	1803488	1802153	1334
Adentalis	long	0	6	105	3468571	3238575	229994
Msmithii	medium	1	3	220	1608500	1595920	12577
Tforsythia	medium	2	5	143	3212444	3136030	76361
Msmithii	long	6	1	0	0	0	0
Tforsythia	medium	9	2	26	77787	77212	575
Msmithii	medium	5	6	34	1816468	1691407	125055
Tforsythia	short	8	7	162	3130668	3090075	40592
Adentalis	long	1	7	101	3467061	3147974	319083
Tforsythia	short	7	0	0	0	0	0
Tforsythia	medium	9	1	0	0	0	0
Msmithii	long	5	1	0	0	0	0
Adentalis	long	1	0	0	0	0	0
Tforsythia	short	9	3	430	1727268	1721387	5869
Tforsythia	medium	9	3	449	2677278	2648988	28264
Adentalis	long	0	4	134	3451923	3191082	260840
Adentalis	long	1	3	362	3192583	3097476	95104
Adentalis	long	0	5	106	3465212	3158000	307167
Tforsythia	medium	6	0	0	0	0	0
Tforsythia	short	9	1	0	0	0	0
Msmithii	long	0	0	0	0	0	0
Msmithii	short	1	4	86	1776937	1748322	28615
Msmithii	long	6	4	42	1815887	1795183	20683
Msmithii	medium	0	4	40	1798443	1695648	102794
Msmithii	medium	1	6	37	1815916	1702779	113133
Tforsythia	medium	6	3	434	2765003	2729220	35755
Tforsythia	medium	6	6	120	3239999	2931845	308104
Tforsythia	medium	9	7	120	3248763	3022232	226498
Msmithii	long	3	0	0	0	0	0
Msmithii	long	4	0	0	0	0	0
Adentalis	short	6	1	0	0	0	0
Adentalis	medium	6	2	18	54859	54109	750
Tforsythia	short	0	7	155	3128496	3043293	85186
Msmithii	long	2	0	0	0	0	0
Msmithii	long	9	1	0	0	0	0
Tforsythia	medium	5	0	0	0	0	0
Tforsythia	short	1	2	3	8197	8163	34
Tforsythia	long	1	2	197	702762	690279	12470
Adentalis	medium	5	3	504	2558659	2520694	37929
Adentalis	long	6	5	115	3460614	3119365	341244
Msmithii	long	6	5	29	1816298	1677927	138369
Adentalis	medium	5	2	26	79777	77162	2615
Tforsythia	short	1	4	236	3070391	3063243	7139
Msmithii	medium	3	0	0	0	0	0
Msmithii	long	7	0	0	0	0	0
Tforsythia	medium	3	1	0	0	0	0
Msmithii	long	5	6	34	1817701	1809740	7959
Msmithii	long	1	6	35	1817774	1813366	4406
Adentalis	medium	5	4	338	3233737	3097820	135911
Adentalis	medium	4	6	143	3441261	3164910	276349
Tforsythia	long	8	4	139	3235946	2998147	237745
Adentalis	medium	4	7	137	3442200	3246178	196021
Tforsythia	medium	8	5	144	3224869	3039395	185434
Adentalis	medium	4	5	187	3388180	3135769	252389
Tforsythia	medium	8	1	0	0	0	0
Msmithii	long	5	0	0	0	0	0
Msmithii	long	9	0	0	0	0	0
Adentalis	short	5	2	0	0	0	0
Tforsythia	long	3	0	0	0	0	0
Tforsythia	short	4	2	3	8336	8292	44
Adentalis	long	2	2	175	587627	569603	17964
Msmithii	long	0	5	28	1815921	1655967	159954
Msmithii	long	6	7	31	1819209	1814824	4385
Tforsythia	long	1	3	297	3121960	3044318	77607
Adentalis	short	6	4	377	3111145	3021787	89345
Msmithii	long	1	0	0	0	0	0
Tforsythia	long	1	1	0	0	0	0
Msmithii	medium	5	2	17	54227	53531	696
Msmithii	short	8	5	60	1789492	1784801	4691
Msmithii	medium	6	4	59	1799260	1746366	52893
Adentalis	long	7	4	176	3418748	3164470	254277
Adentalis	medium	6	5	177	3388764	3150938	237582
Adentalis	long	6	7	101	3465843	3187649	278193
Tforsythia	medium	8	3	447	2716904	2686458	29921
Tforsythia	short	4	6	156	3117649	3066987	50632
Msmithii	medium	3	2	17	52730	51835	895
Msmithii	long	2	7	32	1818845	1809546	9299
Tforsythia	short	1	6	159	3108945	3075176	33768
Adentalis	short	5	5	294	3224404	3144134	80270
Adentalis	medium	3	6	144	3449902	3137482	312415
Tforsythia	medium	9	0	0	0	0	0
Tforsythia	long	0	1	0	0	0	0
Tforsythia	long	0	2	244	874939	862047	12887
Msmithii	medium	5	4	67	1799735	1788605	11130
Msmithii	medium	3	3	219	1637280	1628900	8377
Tforsythia	medium	2	6	125	3246431	3079929	166446
Tforsythia	short	7	6	157	3117336	3084906	32425
Adentalis	medium	5	7	130	3439109	3172508	266599
Msmithii	medium	5	1	0	0	0	0
Msmithii	long	5	5	33	1814224	1712639	101583
Adentalis	medium	3	5	188	3399595	3220464	179127
Adentalis	medium	3	0	0	0	0	0
Msmithii	long	9	5	34	1816216	1726247	89967
Msmithii	long	5	4	41	1814179	1757681	56493
Tforsythia	short	1	7	158	3117162	3074622	42524
Tforsythia	medium	8	6	125	3246124	2982349	263717
Adentalis	short	3	4	373	3110791	3063372	47418
Adentalis	long	7	0	0	0	0	0
Tforsythia	medium	7	0	0	0	0	0
Adentalis	short	5	0	0	0	0	0
Adentalis	short	3	2	0	0	0	0
Tforsythia	short	6	0	0	0	0	0
Adentalis	long	6	6	101	3466774	3194962	271801
Msmithii	medium	5	0	0	0	0	0
Adentalis	medium	3	1	0	0	0	0
Tforsythia	short	3	1	0	0	0	0
Tforsythia	medium	8	0	0	0	0	0
Msmithii	medium	3	4	62	1794492	1777590	16896
Msmithii	long	3	7	33	1820867	1801811	19054
Adentalis	short	0	5	288	3239990	3131885	108087
Adentalis	medium	8	6	136	3446876	3128518	318337
Adentalis	short	1	7	287	3250065	3125596	124449
Adentalis	short	9	7	289	3246445	3166739	79578
Adentalis	short	8	7	283	3237777	3136351	101408
Adentalis	short	3	6	290	3242843	3144144	98570
Adentalis	short	6	5	292	3228581	3124352	104212
Adentalis	short	7	5	292	3225798	3116686	109091
Adentalis	short	6	6	290	3234795	3147567	87207
Adentalis	short	7	6	285	3237987	3124116	113724
Adentalis	short	6	7	289	3238324	3148916	89389
Adentalis	short	0	7	279	3265621	3127799	137802
Adentalis	short	7	7	287	3238601	3133891	104690
Adentalis	long	1	4	194	3438271	3219271	218967
Adentalis	short	8	6	283	3240753	3146939	93796
Adentalis	medium	8	7	130	3447767	3213497	234229
Adentalis	short	0	6	282	3259740	3158526	101194
Adentalis	medium	7	4	336	3219615	3121044	98534
Adentalis	medium	6	4	340	3231696	3101405	130145
