genome	rl	damagelevel	covbin	noContigs	totallength	alignmentlength	softcliplength
Msmithii	long	3	5	34	1815267	1715590	99673
Msmithii	short	1	3	241	1065293	1061295	3996
Adentalis	medium	3	3	505	2570503	2535531	34920
Msmithii	medium	1	7	35	1817071	1771726	45339
Tforsythia	medium	7	4	206	3159342	3051348	107936
Msmithii	long	0	7	32	1818393	1814077	4316
Tforsythia	long	4	2	213	723234	715266	7958
Msmithii	medium	4	6	36	1818034	1702588	115445
Tforsythia	medium	2	7	122	3249894	3041111	208729
Tforsythia	short	2	6	162	3123778	3080164	43594
Tforsythia	medium	9	5	134	3225764	2922957	302791
Tforsythia	long	5	7	109	3253673	3064110	189496
Adentalis	medium	3	7	137	3448251	3233389	214854
Msmithii	long	2	5	28	1815384	1747610	67772
Msmithii	medium	7	7	35	1816903	1670049	146849
Adentalis	long	7	5	116	3464157	3129112	335041
Tforsythia	short	4	0	0	0	0	0
Msmithii	short	2	1	0	0	0	0
Tforsythia	short	3	0	0	0	0	0
Adentalis	short	7	0	0	0	0	0
Tforsythia	short	9	0	0	0	0	0
Tforsythia	long	6	1	0	0	0	0
Msmithii	short	7	2	0	0	0	0
Tforsythia	short	6	2	1	2783	2783	0
Msmithii	short	0	3	251	1148877	1144519	4357
Msmithii	short	1	5	57	1787304	1782960	4344
Msmithii	long	4	5	32	1815978	1700270	115705
Tforsythia	short	6	3	446	1843803	1834716	9086
Msmithii	medium	4	5	41	1806149	1802046	4102
Msmithii	long	6	6	32	1818102	1807874	10228
Tforsythia	short	6	4	230	3086248	3068083	18145
Msmithii	medium	9	4	56	1799772	1759169	40602
Tforsythia	medium	7	7	120	3238248	3038231	199941
Msmithii	long	7	5	31	1818651	1678626	140025
Tforsythia	medium	1	4	202	3134462	3070178	64267
Tforsythia	medium	4	7	128	3252350	3048665	203581
Adentalis	long	7	3	390	3163900	3101423	62474
Tforsythia	long	3	7	109	3259017	2985701	273288
Msmithii	short	2	4	88	1775588	1764909	10679
Tforsythia	long	4	5	118	3273034	3004623	268323
Msmithii	long	2	6	31	1816186	1796385	19801
Msmithii	short	2	0	0	0	0	0
Msmithii	short	4	1	0	0	0	0
Msmithii	short	2	2	0	0	0	0
Adentalis	long	7	1	0	0	0	0
Adentalis	short	4	0	0	0	0	0
Tforsythia	short	4	1	0	0	0	0
Msmithii	medium	9	2	22	69427	67108	2319
Msmithii	medium	8	2	22	70988	68154	2834
Adentalis	short	7	3	377	1499063	1489580	9483
Msmithii	long	1	7	34	1817905	1812963	4942
Tforsythia	short	3	3	431	1827769	1820935	6822
Msmithii	medium	4	7	34	1817856	1695979	121871
Msmithii	short	2	5	56	1789303	1784655	4648
Msmithii	long	8	4	39	1811160	1793533	17610
Msmithii	long	4	7	32	1819913	1818561	1352
Tforsythia	long	7	5	115	3272722	2961394	311181
Adentalis	short	7	4	362	3086454	3010865	75580
Tforsythia	medium	0	7	121	3241266	2993940	247223
Tforsythia	long	4	3	290	3124884	3036517	88311
Tforsythia	long	4	4	141	3233865	3005098	228736
Tforsythia	medium	9	6	122	3240749	2993978	246749
Tforsythia	long	6	5	112	3264536	3069281	195122
Tforsythia	short	7	2	3	8160	7981	179
Adentalis	short	4	2	0	0	0	0
Tforsythia	short	8	0	0	0	0	0
Tforsythia	medium	2	0	0	0	0	0
Msmithii	short	6	0	0	0	0	0
Msmithii	medium	9	0	0	0	0	0
Msmithii	medium	7	1	0	0	0	0
Adentalis	medium	2	2	25	72656	70366	2290
Msmithii	short	7	3	245	1065069	1060094	4973
Tforsythia	short	5	3	415	1773129	1767601	5527
Tforsythia	short	8	3	422	1775491	1768138	7341
Msmithii	long	4	3	119	1776751	1742311	34432
Msmithii	long	1	3	122	1780056	1762357	17664
Msmithii	short	2	7	55	1796842	1788355	8483
Msmithii	long	9	4	42	1812742	1794875	17866
Msmithii	short	2	6	54	1790999	1786262	4737
Tforsythia	short	6	7	155	3117050	3040782	76249
Tforsythia	long	7	4	139	3239608	3060434	179128
Tforsythia	medium	1	7	117	3239522	2922560	316907
Tforsythia	short	3	6	155	3113359	3074591	38763
Adentalis	long	7	7	110	3470501	3142426	328073
Tforsythia	long	7	7	112	3256979	3066134	190773
Tforsythia	long	2	7	112	3263637	3068722	194875
Msmithii	medium	1	2	21	66745	63742	3003
Adentalis	short	5	3	396	1569281	1561482	7799
Msmithii	short	0	6	52	1793692	1779084	14607
Msmithii	short	0	7	53	1797431	1779021	18406
Msmithii	short	7	4	90	1768665	1740894	27771
Msmithii	medium	3	5	43	1808319	1807394	924
Tforsythia	long	1	5	114	3274255	2982650	291398
Tforsythia	medium	6	7	120	3248802	2884551	364215
Msmithii	medium	9	5	40	1803907	1791558	12348
Msmithii	medium	5	5	42	1805762	1793861	11898
Msmithii	short	1	6	57	1790365	1776426	13939
Adentalis	long	5	5	118	3466269	3158377	307864
Tforsythia	long	0	3	248	3158951	3054033	104879
Tforsythia	medium	0	3	373	2907704	2860061	47100
Msmithii	medium	5	3	227	1635702	1626969	8733
Adentalis	long	3	3	371	3206699	3058947	147750
Adentalis	medium	7	5	191	3400289	3180959	219317
Adentalis	long	5	7	108	3473268	3255228	218039
Tforsythia	long	1	4	141	3236429	3038674	197682
Tforsythia	long	9	4	140	3231549	3072758	158767
Tforsythia	medium	1	6	125	3250820	3007621	243141
Adentalis	short	5	7	284	3237122	3140723	96398
